model,total_unique_ids,total_mnx_ids,mapping_percentage
rc_A_aegypti,2517,2517,100.00
rc_C_griseus,3272,3272,100.00
au3_E_siliculosus,2066,2022,97.87
au5_E_siliculosus,1738,1696,97.58
rc_E_siliculosus,2441,2440,99.96
au_A_aegypti,1770,1737,98.14
au_C_griseus,2138,2123,99.30
au_E_siliculosus,2784,2746,98.64
au2_A_aegypti,857,852,99.42
au2_C_griseus,1056,1053,99.72
au2_E_siliculosus,1953,1948,99.74
au3_A_aegypti,2868,2845,99.20
au3_C_griseus,4076,4039,99.09
au4_A_aegypti,6075,3081,50.72
pt_C_griseus,3093,2989,96.64
pt_E_siliculosus,2627,2568,97.75
r_A_aegypti,1330,1330,100.00
r_C_griseus,876,876,100.00
r_E_siliculosus,657,657,100.00
pt_A_aegypti,2728,2677,98.13
au4_E_siliculosus,1104,1071,97.01
cv_C_griseus,1109,1104,99.55
au4_C_griseus,2953,2824,95.63
au5_C_griseus,2931,2931,100.00
cv_E_siliculosus,563,563,100.00
cv_A_aegypti,1059,1056,99.72
me_E_siliculosus,1852,1843,99.51
me_C_griseus,1551,1550,99.94
rh_A_aegypti,1707,1707,100.00
rh_C_griseus,1098,1098,100.00
rh_E_siliculosus,850,850,100.00
me_A_aegypti,1540,1534,99.61
ms_A_aegypti,632,632,100.00
ms_C_griseus,632,632,100.00
ms_E_siliculosus,632,632,100.00
rec_E_siliculosus,1492,1491,99.93
rec_C_griseus,1395,1394,99.93
rec_A_aegypti,1255,1254,99.92
